fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Mikey Burnett,50,0,167,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Jorge Patino,0,0,172,170,1.33,30,3.14,53,0.54,25,50,0.0,1,0
Gary Goodridge,43,0,190,249,1.84,56,2.14,48,0.4,100,53,0.8,1,0
Sione Latu,0,0,182,215,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Guy Mezger,100,1,185,200,2.3,32,1.36,72,0.39,50,88,0.0,1,0
Joey Roberts,0,0,187,200,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Chris Condo,0,0,182,335,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Tony Petarra,0,0,180,196,0.0,0,0.0,0,0.0,0,0,0.0,1,0
David Roberts,0,0,185,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Marcelo Mello,0,0,170,170,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Bas Rutten,100,1,185,205,5.59,61,2.06,79,0.0,0,0,0.0,1,0
Andre Pederneiras,0,0,172,155,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Travis Fulton,0,0,182,240,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Marco Ruas,80,1,185,210,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Flavio Luiz Moura,0,0,180,183,0.67,16,0.0,0,0.0,0,0,0.0,0,0
Royce Alger,0,0,177,199,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Andre Roberts,0,0,187,345,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Brad Kohler,0,0,175,220,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Alfonso Alcarez,0,0,160,145,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Valeri Ignatov,0,0,175,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Jason Godsey,0,0,187,230,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Lowell Anderson,0,0,167,160,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Frank Shamrock,100,1,177,185,4.75,53,4.66,57,0.35,50,37,1.1,1,0
Paul Jones,100,1,175,199,0.0,0,0.0,0,0.0,0,0,0.0,1,0
